"ID_PERSONA","NOMBRE","APELLIDOS","DNI","FECHANACIMIENTO","TELEFONO","EMAIL","DIRECCION","TIPOPERSONA"
1,Carlos,Ruiz Montana,"97372838S","1968-08-19","955216464",REISEREISE@gmail.com,Calle Julio César,Buffalo
2,Jorge,Guzmán Pérez,"82045848H","1996-08-08","655224862",thethrone@gmail.com,Calle del Avispero,Monitor
3,Adrián,López Romero,"05946132B","1995-11-18","586778214",redeemer@gmail.com,Calle Cucurucho,Monitor
4,Alicia,Moreno Gómez,"16821840P","1996-04-08","992354176",NoMore@gmail.com,Avenida de la Paz,Buffalo
5,Mario,Domínguez Serna,"99582335V","1994-11-04","644210056",Immortality@gmail.com,Calle Chanquete,Monitor
6,Miriam,González Ramos,"33600793R","1995-10-10","856442187",pearljam4ever@gmail.com,Calle Cono,Buffalo
7,Santiago,Carmona Ruíz,"61056235K","1995-02-06","785555600",heretostay@gmail.com,Calle de los Naranjos,Monitor
8,Elena,Pérez Gutiérrez,"97777471D","1996-08-03","963334201",untouchables@gmail.com,Calle Cuesta Abajo,Buffalo
9,Juan Antonio,Álvarez Moreno,"64376639F","1995-09-21","544789621",OneMoreTime@gmail.com,Calle Victoria,Monitor
10,Raúl,Puerta López,"72949207S","1996-11-05","855030144",FireItUp@gmail.com,Calle San Cristóbal,Buffalo
11,David,Santana Pérez,"62584558V","1995-07-09","559871023",disturbed@gmail.com,Avenida Montecarlo,Monitor
12,César,Romero Montés,"07534157R","1995-10-01","856442187",pearljam4ever@gmail.com,Calle Cono,Buffalo
13,Paula,Gómez Castillo,"61964984V","1994-02-12","954234678",andjustice4all@gmail.com,Calle Grapadora,Monitor
14,Íñigo,Montoya Márquez,"32938141W","1995-03-14","639548312",matasteamipadre@gmail.com,Calle Prepago,Buffalo
15,Jaime,Castro Moreno,"04786810G","1996-05-17","459820376",metallica@gmail.com,Calle San Juan,Monitor
16,Raquel,Rubio González,"92648416T","1996-11-01","589014465",blackened@gmail.com,Avenida San Isidro,Buffalo
17,Sara,Rivas Carmona,"36600917M","1995-07-05","970536453",insanity@gmail.com,Calle Baker,Monitor
18,Javier,Serna Ruíz,"47684228F","1996-06-16","295446600",bridgeburning@gmail.com,Calle Mos Eisley,Buffalo
19,Jorge,Cremades Barba,"64405951V","1995-07-09","420157934",rockyourlife@gmail.com,Calle Gotelé,Monitor
20,Marta,Rodríguez Moreno,"95805362N","1993-12-12","965010874",mojinosescozios@gmail.com,Calle Mueblebar,Buffalo
21,Bruno,Díaz Gómez,"78280483Y","1996-08-26","898213069",NotBatman@gmail.com,Avenida Madre Paula,Monitor
22,Isabel,Carrillo Martínez,"90127128H","1993-03-14","624583207",wahwahwah@gmail.com,Calle Bellavista,Buffalo
23,Ismael,Gutiérrez Serna,"77767310D","1994-03-02","850402311",stonesour@gmail.com,Calle Marinero,Monitor
24,Manuel,Ortega Caballero,"66109558Z","1994-07-13","583047865",seemann@gmail.com,Calle Poncio Pilato,Buffalo
25,Rodrigo,Carmona Vázquez,"75570623Y","1995-01-21","420753169",doooom@gmail.com,Calle Infierno,Monitor
26,Pablo,Moreno Gutiérrez,"71025959G","1996-09-22","200359987",warneverchanges@gmail.com,Calle Madagascar,Buffalo
27,Jorge Javier,Pérez de la Vega,"39411070H","1995-10-06","764056464",manosalaobra@gmail.com,Avenida del Cigarrillo,Monitor
28,Federico,Castro González,"10840277D","1995-10-12","850444441",fiera@gmail.com,Calle Televisor,Buffalo
29,Beatriz,Castillo Pérez,"16250334Y","1994-05-29","967415822",monstruo@gmail.com,Calle Cepillo de Dientes,Monitor
30,Bruno,Moreno Márquez,"13367611B","1995-02-14","999222001",renardo@gmail.com,Calle Bicicleta,Buffalo
31,Eduardo,Iglesias López,"71600071J","1996-10-06","459720376",sobreruedas@gmail.com,Calle Santiago,Monitor
32,Paloma,Benítez Rubio,"92648416T","1996-11-08","589002665",clapyourhands@gmail.com,Avenida San Marcos,Buffalo
33,Maria del Carmen,Ortega Caballero,"36600917M","1995-07-01","970221453",holdthedoor@gmail.com,Calle Salvador,Monitor
34,Joaquín,Villalobos Sabina,"47684228F","1996-12-16","291234700",stairway@gmail.com,Calle Lleca,Buffalo
